ID,DATE,LOCATION,Governorate,CHEMICAL,PERPETRATOR,perp_recode,# OF CASUALTIES,# OF INJURIES,inj_cat,SOURCE
6,21-Aug-13,Western Ghouta,Damascus,Sarin,Syrian government,Syrian government,80,"3,600",Unknown,https://www.hrw.org/report/2013/09/10/attacks-ghouta/analysis-alleged-use-chemical-weapons-syria
8,22-Aug-13,"Bahhariyeh, Eastern Ghouta",Damascus,Unconfirmed,Unconfirmed,Unconfirmed,-,18,< 20,http://undocs.org/A/68/663
9,24-Aug-13,Jobar,Damascus,Unconfirmed,Unconfirmed,Unconfirmed,-,4,< 20,http://undocs.org/A/68/663
10,25-Aug-13,Ashrafiyat Sahnaya,Damascus,Unconfirmed,Unconfirmed,Unconfirmed,-,5,< 20,http://undocs.org/A/68/663
11,10-Apr-14,Kafr Zita,Hama,Chlorine,Unspecified,Unconfirmed,-,12,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
12,11-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,Syrian government,3,100,"100 - 1,000",https://www.bellingcat.com/news/mena/2015/04/27/chemical-crisis-a-timeline-of-cw-attacks-in-syrias-civil-war/
12,11-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,Syrian government,2,207,"100 - 1,000",https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
12,11-Apr-14,Kafr Zita,Hama,Chlorine,Syrian Government,Syrian government,-,-,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
12,11-Apr-14,Kafr Zita,Hama,Chlorine,Unspecified,Syrian government,-,5,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
12,11-Apr-14,Kafr Zita,Hama,-,Inconclusive,Syrian government,,,"100 - 1,000",JIM 3
13,12-Apr-14,al-Temana,Idlib,Chlorine,Unspecified,Syrian government,-,25,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
13,12-Apr-14,al-Temana,Idlib,Chlorine,Syrian government,Syrian government,4,150,"100 - 1,000",https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
12,12-Apr-14,Kafr Zita,Hama,Chlorine,Unspecified,Syrian government,-,4,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
12,12-Apr-14,"Kafr Zita & al-Temana
",Hama,Unspecified,Unspecified,Syrian government,-,-,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
14,14-Apr-14,Halfaya,Hama,Chlorine,Unspecified,Unconfirmed,-,5,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
15,16-Apr-14,al-Zowar,Idlib,Chlorine,Unspecified,Unconfirmed,-,35,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
16,18-Apr-14,al-Temana,Idlib,Chlorine,Unspecified,Syrian government,4,70,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
16,18-Apr-14,al-Temana,Idlib,Chlorine,Syrian government,Syrian government,-,-,20-100,https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
17,18-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,Syrian government,-,-,< 20,https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
17,18-Apr-14,Kafr Zita,Hama,Chlorine,Unspecified,Syrian government,-,2,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
17,18-Apr-14,Kafr Zita,Hama,-,-,Syrian government,-,-,< 20,JIM 3
18,21-Apr-14,Telmans_,Idlib,Chlorine,Unspecified,Syrian government,3,133-200,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
18,21-Apr-14,Telmans_,Idlib,Chemical Agents,Syrian Government,Syrian government,-,-,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
18,21-Apr-14,Telmans_,Idlib,Chlorine,Syrian Government,Syrian government,-,-,"100 - 1,000",JIM 3
18,21-Apr-14,Telmans_,Idlib,Chlorine,Syrian government,Syrian government,3,133,"100 - 1,000",https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
19,29-Apr-14,al-Temana,Idlib,Unspecified,Unspecified,Unconfirmed,-,-,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
19,29-Apr-14,al-Temana,Idlib,-,Inconclusive,Unconfirmed,-,-,20-100,JIM 3
19,30-Apr-14,al-Temana,Idlib,Chlorine,Unspecified,Unconfirmed,-,35,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
20,19-May-14,Kafr Zita,Hama,Chlorine,Unspecified,Unconfirmed,-,4,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
21,21-May-14,Kafr Zita,Hama,Chlorine,Unspecified,Unconfirmed,-,38,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
22,22-May-14,al-Temana,Idlib,Chlorine,Unspecified,Unconfirmed,4,12,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
23,22-May-14,Kafr Zita,Hama,Chlorine,Unspecified,Unconfirmed,-,17,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
24,25-May-14,al-Temana,Idlib,-,Inconclusive,Unconfirmed,-,-,Unknown,JIM 3
25,26-May-14,al-Temana,Idlib,Chlorine,Unspecified,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
26,29-May-14,al-Lataminah,Idlib,Chlorine,Unspecified,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
27,27-Jul-14,Kafr Zita,Hama,Chlorine,Unspecified,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
28,28-Aug-14,Al Sayyad,Hama,Chlorine,Syrian government,Syrian government,-,50,20-100,https://www.bellingcat.com/news/mena/2014/09/01/reports-of-new-improvised-chemical-weapons-used-by-the-syrian-air-force/
29,28-Aug-14,Kafr Zita,Hama,Chlorine,Unspecified,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
30,30-Aug-14,Kafr Zita,Hama,Chlorine,Unspecified,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
31,15-Feb-15,Darayya,Damascus,Sarin-Like Substance,Unspecified,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1318-2015r1a1_e_.pdf
32,16-Mar-15,Qmenas,Idlib,Chlorine,Unspecified,Syrian government,-,26,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
32,16-Mar-15,Qmenas,Idlib,Inconclusive,Inconclusive,Syrian government,-,-,"100 - 1,000","JIM 3, 4"
32,16-Mar-15,Qmenas and Sarmin,Idlib,Chlorine,Syrian government,Syrian government,6,110,"100 - 1,000",https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
32,16-Mar-15,Sarmin,Idlib,Chlorine,Unspecified,Syrian government,6,6,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
32,16-Mar-15,Sarmin,Idlib,Chlorine,Syrian Government,Syrian government,6,-,"100 - 1,000",JIM 3
32,16-Mar-15,Sarmin,Idlib,Chlorine,Syrian Governemnt,Syrian government,5,100,"100 - 1,000",https://www.amnesty.org/en/latest/news/2015/03/syria-war-crime-chlorine-gas-attack/
33,23-Mar-15,Binnish,Idlib,Toxic Material,Unspecified,Syrian government,-,21,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
32,23-Mar-15,Qmenas and Sarmin,Idlib,Chlorine,Syrian government,Syrian government,-,20,"100 - 1,000",https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
32,23-Mar-15,Sarmin,Idlib,Chlorine,Unspecified,Syrian government,-,5,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
33,24-Mar-15,Binnish,Idlib,Chlorine,Syrian government,Syrian government,-,3,< 20,https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
33,24-Mar-15,Binnish,Idlib,Chlorine,Syrian Government,Syrian government,-,-,< 20,JIM 3
34,26-Mar-15,Sarmin,Idlib,Chlorine,Syrian government,Syrian government,-,10,< 20,https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
34,26-Mar-15,Sarmin,Idlib,Chlorine,Unspecified,Syrian government,-,6,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
35,31-Mar-15,Idlib City,Idlib,Chlorine,Syrian government,Syrian government,-,-,20-100,https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
35,31-Mar-15,Idlib City,Idlib,Chlorine,Unspecified,Syrian government,-,38,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
36,15-Apr-15,Kurin,Idlib,Chlorine,Unspecified,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
37,16-Apr-15,Idlib City,Idlib,Chlorine,Unspecified,Unconfirmed,-,20,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
38,27-Apr-15,Neirab,Idlib,Chlorine,Unspecified,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
39,1-May-15,Neirab,Idlib,Chlorine,Unspecified,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
41,2-May-15,Neirab,Idlib,Chlorine,Unspecified,Unconfirmed,2,10,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
41,2-May-15,Neirab,Idlib,Chlorine,Syrian government,Syrian government,2,10,< 20,https://www.hrw.org/news/2015/06/03/syria-new-chemical-attacks-idlib
40,2-May-15,Saraqeb,Idlib,Chlorine,Syrian government,Syrian government,-,75,20-100,https://www.hrw.org/news/2015/06/03/syria-new-chemical-attacks-idlib
42,2-May-15,Saraqeb,Idlib,Toxic Chemicals,Unspecified,Unconfirmed,-,70,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
43,7-May-15,Kafr Batikh,Idlib,Chlorine,Syrian government,Syrian government,-,17,< 20,https://www.hrw.org/news/2015/06/03/syria-new-chemical-attacks-idlib
44,16-May-15,Sarmin,Idlib,Chlorine,Unspecified,Unconfirmed,-,4,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
45,20-May-15,Idlib City,Idlib,Chlorine,Unspecified,Unconfirmed,-,32,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
46,21-Aug-15,Marea,Aleppo,Sulfur Mustard,Unspecified,Unconfirmed,85,1,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1320-2015_e_.pdf
47,21-Aug-15,Marea,Aleppo,Sulfur Mustard,ISIS,ISIS,-,-,Unknown,JIM 3
48,5-Apr-16,Sheikh Maqsoud,Aleppo,Chlorine,Unspecified,Unconfirmed,-,4,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
48,7-Apr-16,Sheikh Maqsoud,Aleppo,Chlorine,Armed Groups,Unconfirmed,-,8,< 20,https://www.amnesty.org/en/latest/news/2016/05/syria-armed-opposition-groups-committing-war-crimes-in-aleppo-city/
49,16-Apr-16,"Kafr Zita & al-Temana
",Idlib,Unspecified,Unspecified,Unconfirmed,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
